Posted On,Headline,Content,Link,Image Link
"Updated: 25 जनवरी, 2024 3:45 PM","UPSC ने इस परीक्षा के रिजेक्टेड उम्मीदवारों की लिस्ट जारी की, जानिए कौन सी है यह परीक्षा और लिस्ट में चेक करें अपना नाम",UPSC 2024 Exam: यूपीएससी ने हाल ही में एक परीक्षा के लिए आवेदन कर चुके कुल 99 उम्मीदवारों के आवेदन को खारिज कर दिया है. अब इन उम्मीदवारों को आयोग ने दस दिन का समय दिया है. ,https://ndtv.in/career/upsc-released-rejected-candidates-list-for-this-exam-know-which-exam-it-is-and-check-your-name-in-this-list-4929312,https://c.ndtvimg.com/2023-02/g09bbqko_exam-tips_120x90_10_February_23.jpg
"Updated: 25 जनवरी, 2024 3:38 PM","NEET 2024 परीक्षा के लिए आवेदन जल्द, फॉर्म भरने और जमा करने के लिए मिलेगा एक महीने का समय","NEET 2024 Exam: नीट एप्लीकेशन विंडो खुलने के बाद, उम्मीदवारों के पास फॉर्म भरने और जमा करने के लिए लगभग एक महीने का समय होगा. नीट के लिए पीसीबी के साथ 12वीं में उत्तीर्ण होना जरूरी है.",https://ndtv.in/career/neet-2024-application-form-released-soon-one-month-time-will-be-given-to-fill-and-submit-the-form-4929633,https://c.ndtvimg.com/2022-11/e1n3edi_neet-exam_625x300_21_November_22.jpg
"Updated: 25 जनवरी, 2024 2:10 PM","MPSOS रुक जाना नहीं कक्षा 10वीं, 12वीं दिसंबर 2023 परीक्षा के नतीजे घोषित, ऐसे करें चेक",MPSOS Ruk Jana Nahi Result 2023: एम बोर्ड ने रुक जाना नहीं योजना के तहत कक्षा 10वीं और कक्षा 12वीं परीक्षा रिजल्ट आज घोषित कर दिया है. स्टूडेंट बोर्ड की आधिकारिक वेबसाइट mpsos.nic.in से अपना रिजल्ट चेक कर सकते हैं. ,https://ndtv.in/career/mpsos-ruk-jana-nahi-result-2023-for-class-10th-and-12th-december-exams-declared-check-here-from-direct-link-4923901,https://c.ndtvimg.com/2022-06/8ibcrgv8_west-bengal-board-result_120x90_10_June_22.jpg
"Updated: 25 जनवरी, 2024 2:10 PM",NEET 2024 की प्रीपरेंशन कर रहे हैं तो जानिए NIRF रैंकिंग में टॉप 10 मेडिकल कॉलेज,Top Ten Medical Colleges In India: इस साल नीट की परीक्षा मई महीने में होगी. ऐसे में मेडिकल प्रवेश परीक्षा का लक्ष्य साधे हुए छात्रों के लिए यह जानना बेहद जरूरी हो जाता है कि आखिर देश में टॉप 10 मेडिकल कॉलेजों कौन से हैं...,https://ndtv.in/career/top-ten-medical-colleges-in-nirf-ranking-aiims-delhi-on-top-know-full-list-here-4928998,https://c.ndtvimg.com/2022-06/a23b6ed_neet-exam_120x90_16_June_22.jpg
"Updated: 25 जनवरी, 2024 2:00 PM","दिल्ली की सुहानी चौहान को मिला प्रधानमंत्री राष्ट्रीय बाल पुरस्कार, सौर ऊर्जा से चलने वाला ""SO-APT"" कृषि वाहन बनाया",दिल्ली की सुहानी चौहान को प्रधानमंत्री राष्ट्रीय बाल पुरस्कार से नवाजा गया है. उन्हें सौर ऊर्जा से चलने वाले कृषि वाहन को विकसित करने के लिए सम्मानित किया गया है. वह बच्चों के लिए प्रधानमंत्री राष्ट्रीय बाल पुरस्कार दिल्ली से एकमात्र छात्रा हैं. ,https://ndtv.in/career/suhani-chauhan-of-delhi-received-the-prime-ministers-national-childrens-award-so-apt-agricultural-vehicle-running-on-solar-energy-4928520,https://c.ndtvimg.com/2024-01/alrc240o_suhana_120x90_25_January_24.jpg
"Updated: 25 जनवरी, 2024 11:48 AM","JEE Main 2024: जेईई मेन पेपर 1 परीक्षा का एडमिट कार्ड जारी, बीई/ बीटेक का पेपर 27 से",JEE Main 2024 Admit Card: जेईई मेन 2024 पेपर 1 यानी बीई/ बीटेक परीक्षा के लिए एडमिट कार्ड जारी कर दिए हैं. एनटीए ने नोटिस जारी कर बताया कि यह एडमिट कार्ड केवल 27 जनवरी को होने वाली परीक्षा के लिए हैं.,https://ndtv.in/career/jee-main-2024-paper-1-exam-admit-card-released-be-b-tech-paper-starts-from-january-27-4927952,https://c.ndtvimg.com/2020-04/s5d8qvmg_jee-exam_625x300_21_April_20.jpg
"Updated: 24 जनवरी, 2024 5:26 PM","CUET PG 2024: सीयूईटी पीजी के लिए आवेदन करने का आखिरी दिन, जल्दी करें अप्लाई","CUET PG 2024: सीयूईटी पीजी के लिए आवेदन करने का आज आखिरी दिन है. हालांकि आवेदन शुल्क का भुगतान गुरुवार, 25 जनवरी तक किया जा सकता है. ",https://ndtv.in/career/cuet-pg-2024-registration-last-date-today-apply-now-exma-on-march-11-to-28-4922918,https://c.ndtvimg.com/2019-04/chm6acro_apply-now_120x90_02_April_19.jpg
"Updated: 24 जनवरी, 2024 3:32 PM","JEE Main 2024 की परीक्षा शुरू, सत्र 1 के लिए एडमिट कार्ड लिंक और एग्जाम डे गाइडलाइन्स यहां देखें",JEE Main 2024: जेईई मेन 2024 सत्र 1 की परीक्षा आज यानी बुधवार से शुरू हो रही है. नेशनल टेस्टिंग एजेंसी (NTA) ने जेईई मेन परीक्षा का सारी तैयारी कर ली है. स्टूडेंट एग्जाम सेंटर पर जाने की तैयारी में लगे हैं.,https://ndtv.in/career/jee-main-2024-session-1-exam-starts-from-today-check-admit-card-link-and-exam-day-guidelines-here-4921511,https://c.ndtvimg.com/2022-07/tq2l89c8_cuet_640x480_15_July_22.jpg
"Updated: 23 जनवरी, 2024 3:12 PM","NVS Class 9th, 11th Admissions 2024: एनवीएस कक्षा 9वीं, 11वीं लेटेरल एंट्री सेलेक्शन टेस्ट के लिए एडमिट कार्ड जारी, परीक्षा Feb में","नवोदय विद्यालय में कक्षा 9वीं, 11वीं लेटेरल एंट्री सेलेक्शन टेस्ट 10 फरवरी 2024 को आयोजित किया जाएगा. इस परीक्षा को पास करने वाले छात्रों को जवाहर नवोदय विद्यालय के कक्षा 9वीं और 11वीं में दाखिला मिलता है. ",https://ndtv.in/career/jnvst-class-9th-11th-lest-admit-cards-released-exam-on-february-10-4916483,https://c.ndtvimg.com/2022-05/fj2aq1h_kv-admission_625x300_09_May_22.jpg
"Updated: 23 जनवरी, 2024 2:25 PM","JKBOSE Board Exam 2024: जेके बोर्ड कक्षा 10वीं, 12वीं एडमिट कार्ड जम्मू और लेह डिविजन के लिए जारी","JKBOSE Board Exam 2024: जम्मू और कश्मीर बोर्ड (JKBOSE) की कक्षा 10वीं और 12वीं की बोर्ड परीक्षाएं मार्च महीने में शुरू हो रही हैं. बोर्ड ने जेके कक्षा 10वीं, 12वीं बोर्ड परीक्षा के लिए एडमिट कार्ड जारी कर दिया है.",https://ndtv.in/career/jkbose-board-exam-2024-jk-board-class-10th-12th-exam-admit-card-released-for-jammu-and-leh-division-4915884,https://c.ndtvimg.com/2022-06/9uq7tjng_gujrat-board-exam_625x300_23_June_22.jpg
"Updated: 23 जनवरी, 2024 1:08 PM","JEE Mains 2024: जेईई मेन परीक्षा 48 घंटे बाद, सभी छात्रों के लिए जरूरी निर्देश जारी, नहीं मानने वाले हो जाएंगे बाहर",JEE Mains 2024: जेईई मेन 2024 सत्र 1 की परीक्षा कल से शुरू होने जा रही है. छात्रों को एग्जाम सिटी में पहुंचना शुरू हो गया है. आईआईटी जेईई की इस परीक्षा में भाग लेने वाले सभी छात्रों के लिए जरूरी निर्देश जारी किए गए हैं.,https://ndtv.in/career/jee-main-2024-only-48-hours-left-for-exam-important-instructions-for-all-the-candidates-if-not-followed-then-out-of-the-exam-4915551,https://c.ndtvimg.com/2020-04/saemi0o_jee-exam_120x90_21_April_20.jpg
"Updated: 23 जनवरी, 2024 1:07 PM","कनाडा इंटरनेशनल स्टूडेंट परमिट पर एक तिहाई कटौती, भारतीय छात्रों पर पड़ेगा असर","कनाडा के एमिग्रेशन मिनिस्टर ने कहा, ""कनाडा में अंतरराष्ट्रीय छात्रों का स्वागत करना अनुचित होगा, यह जानते हुए कि उनमें से सभी को सफल होने के लिए आवश्यक संसाधन नहीं मिल रहे हैं और वे कनाडा की शिक्षा प्रणाली से निराश होकर घर लौट रहे हैं.''",https://ndtv.in/career/canada-will-reduce-the-international-student-permit-by-one-third-canada-immigration-minister-marc-miller-told-4914956,https://c.ndtvimg.com/2024-01/n2to6ek_canada-reuters_625x300_22_January_24.jpeg
"Updated: 23 जनवरी, 2024 12:18 PM","JEE Main 2024: जेईई मेन 2024 सत्र 1 की परीक्षा कल से शुरू, एडमिट कार्ड जारी, दूसरी पाली में परीक्षा",JEE Main 2024 Exam: जेईई मेन का पहला सत्र कल से शुरू हो रहा है. एनटीए ने जेईई मेन 2024 सत्र 1 की परीक्षा के लिए एडमिट कार्ड जारी कर दिया है. हर साल होने वाली इस परीक्षा में लाखों बच्चे भाग लेते हैं.,https://ndtv.in/career/jee-main-2024-session-1-exam-starts-from-24-january-admit-card-released-exam-in-second-shift-4915259,https://c.ndtvimg.com/2021-01/qb6ie6d_jee-exam_625x300_30_January_21.jpg
"Updated: 23 जनवरी, 2024 9:33 AM","CBSE Board Exam 2024: सीबीएसई ने स्पेशल नीड वाले स्टूडेंट के लिए खोला पोर्टल, स्कूलों को ऐसे छात्रों की डिटेल्स 24 जनवरी तक भरनी होगी",CBSE Board Exam 2024: केंद्रीय माध्यमिक शिक्षा बोर्ड (CBSE) ने 2024 की बोर्ड परीक्षाओं में सुविधाओं का लाभ उठाने के लिए स्पेशल नीड वाले बच्चों (CWSN) के लिए ऑनलाइन पोर्टल एक्टिव कर दिया है. ,https://ndtv.in/career/cbse-opened-portal-for-special-needs-students-for-board-exam-2024-schools-will-have-to-fill-the-details-of-such-students-by-this-date-4909870,https://c.ndtvimg.com/2022-06/pla8p_cbse-result-class-12-cbse-result-news-cbse-result-2022-class-12-cbse-result-2022-in-hindi_625x300_26_June_22.jpg
"Updated: 23 जनवरी, 2024 9:33 AM","JEE Main 2024 पेपर 1 बीई/बीटेक के लिए एडमिट कार्ड, ऐसे कर पाएंगे डाउनलोड, डिटेल्स यहां","JEE Main 2024 Admit Card: जेईई मेन का पेपर 2ए (बीआर्क) और पेपर 2बी (बीप्लानिंग) की परीक्षाएं 24 जनवरी को होनी तय हैं, जबकि पेपर 1 (बीई/बीटेक) की परीक्षा 27, 29, 30, 31 जनवरी और 1 फरवरी 2024 को आयोजित की जाएंगी.",https://ndtv.in/career/jee-main-2024-admit-card-for-be-btech-paper-1-to-be-released-check-details-4909059,"https://c.ndtvimg.com/2022-12/10ku2omo_board-exam_625x300_20_December_22.jpg?im=FeatureCrop,algorithm=dnn,width=650,height=400"
"Updated: 22 जनवरी, 2024 5:17 PM","UPSSSC फॉरेस्ट गार्ड पीईटी 2023 के लिए शेड्यूल जारी, शारीरिक परीक्षा 12 फरवरी से, एलिजिबिलिटी जानें",UPSSSC PET 2023 Exams: उत्तर प्रदेश अधीनस्थ सेवा चयन आयोग (UPSSSC) ने फॉरेस्ट गार्ड के लिए फिजिकल एलिजिबिलीट टेस्ट  (PET 2023) के लिए परीक्षा तिथियों की घोषणा कर दी है.,https://ndtv.in/career/upsssc-forest-guard-pet-2023-exam-schedule-released-physical-exam-from-february-12-know-eligibility-4910833,https://c.ndtvimg.com/2024-01/6ofu4o8_competitive-exam_120x90_10_January_24.jpg
"Updated: 22 जनवरी, 2024 1:16 PM","Ram Lalla: इलाहाबाद यूनिवर्सिटी के छात्र बना रहे रामलला की सबसे बड़ी रंगोली, गिनीज रिकॉर्ड की तैयारी","Ram Mandir, Ram Lalla: देश-दुनिया रामलला के रंग में रंगी है, ऐसे में भला इलाहाबाद यूनिवर्सिटी के छात्र कहां पीछे रहते. इलाहाबाद यूनिवर्सिटी के छात्रों के एक समूह ने राममंदिर और रामलला की दुनिया की सबसे बड़ी रंगोली बना रहें.",https://ndtv.in/career/ram-lalla-students-of-allahabad-university-are-making-the-biggest-rangoli-of-ram-lalla-preparing-for-guinness-record-4909431,https://c.ndtvimg.com/2022-09/mt727l8_allahabad-university-_120x90_22_September_22.jpg
"Updated: 22 जनवरी, 2024 12:41 PM","JEE Main 2024: बीआर्क और बी प्लानिंग के लिए जेईई मेन एडमिट कार्ड जारी, 24 जनवरी को है परीक्षा",JEE Main 2024: इस साल भी जेईई मेन 2024 की परीक्षा दो सत्र में होगी. जेईई मेन सत्र 1 की परीक्षा के लिए एडमिट कार्ड जारी कर दिया गया है. उम्मीदवार इसे आधिकारिक वेबसाइट से डाउनलोड कर सकते हैं. ,https://ndtv.in/career/jee-main-2024-admit-card-released-for-b-arch-and-b-planning-exam-is-on-january-24-4908669,https://c.ndtvimg.com/2021-01/m6lnij4o_jee-exam_120x90_23_January_21.jpg
"Updated: 22 जनवरी, 2024 9:51 AM","UGC NET Result 2023: यूजीसी नेट दिसंबर 2023 परीक्षा परिणाम घोषित, सब्जेक्ट वाइज कटऑफ Direct Link","UGC NET Result 2023: नेशनल टेस्टिंग एजेंसी (NTA) ने यूजीसी नेट परीक्षा का रिजल्ट घोषित कर दिया है. जिन उम्मीदवारों ने यूजीसी नेट दिसंबर 2023 की परीक्षा दी है, वे आधिकारिक वेबसाइट  ugcnet.nta.ac.in से अपने रिजल्ट की जांच कर सकते हैं. परीक्षा में 9 लाख से अधिक उम्मीदवारों ने भाग लिया था.",https://ndtv.in/career/ugc-net-december-2023-result-declared-subject-wise-cutoff-direct-link-4890614,https://c.ndtvimg.com/2022-09/hnvmp5lo_jee-advanced-aat-2022-result-declared-at-jeeadvacin_625x300_18_September_22.jpg
"Updated: 19 जनवरी, 2024 5:08 PM","JEE Main 2024: जेईई मेन 2024 सत्र 1 के लिए एडमिट कार्ड कल होगा जारी, ऐसे कर पाएंगे डाउनलोड","JEE Main 2024 Exam: जेईई मेन 2024 परीक्षा के लिए एडमिट कार्ड कल जारी किया जाएगा. जिन उम्मीदवारों ने इंजीनियरिंग की प्रतिष्ठित प्रवेश परीक्षा के लिए आवेदन किया है, वे आधिकारिक वेबसाइट से अपना एडमिट कार्ड डाउनलोड कर सकते हैं.",https://ndtv.in/career/jee-main-2024-session-1-admit-card-will-be-released-tomorrow-20-january-at-jeemain-nta-ac-in-know-how-to-download-4892954,https://c.ndtvimg.com/2021-02/e8a2ncmo_-jee-main_625x300_27_February_21.jpg
